#COVID-19 Progression Model. XR Pharmaceuticals Ltd. 2020, www.xph.co.nz
# New Zealand,Pop:, 4885500,Pop. density:, 1.86000E+01, Model days:  163 to  68, Opt_by_density: TRUE
#Model parameters:,a1:, 3.00000E-01,b1:, 1.12500E+00,b2:, 1.35000E+00,k1:, 6.25000E-01,k2:, 5.12500E+00,bend date:,2020-04-09,cumulative cases:, 1126
#Date, Day,Cases,CumCases,CumDens,Rate,CalcRate,CalcDens,CalcCumCases
2019-12-31, 0, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-01, 1, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-02, 2, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-03, 3, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-04, 4, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-05, 5, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-06, 6, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-07, 7, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-08, 8, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-09, 9, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-10, 10, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-11, 11, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-12, 12, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-13, 13, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-14, 14, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-15, 15, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-16, 16, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-17, 17, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-18, 18, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-19, 19, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-20, 20, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-21, 21, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-22, 22, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-23, 23, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-24, 24, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-25, 25, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-26, 26, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-27, 27, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-28, 28, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-29, 29, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-30, 30, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-01-31, 31, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-01, 32, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-02, 33, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-03, 34, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-04, 35, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-05, 36, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-06, 37, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-07, 38, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-08, 39, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-09, 40, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-10, 41, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
